season	id	name	createdate	origin	is_paid	round_start	id_user
2017/18	497	FêT‡ 17/18	2017-08-01 12:40:49.957	REVISTA	1	0	771797
2017/18	500	Speeders	2017-08-01 12:41:01.520	REVISTA	1	0	760635
2017/18	506	Borra Beiáa Team	2017-08-01 12:41:57.367	REVISTA	1	0	772054
2017/18	509	Team Peco	2017-08-01 12:42:20.153	REVISTA	1	0	760779
2017/18	510	Atl. Campo d Ourique	2017-08-01 12:42:22.877	REVISTA	1	0	760895
2017/18	515	Sempre SCP	2017-08-01 12:42:47.413	REVISTA	1	0	764684
2017/18	524	Glorioso Escalense 	2017-08-01 12:44:42.703	REVISTA	1	0	760743
2017/18	527	Berenguer F.C.P	2017-08-01 12:44:55.227	REVISTA	1	0	768316
2017/18	540	Os beir‰es	2017-08-01 12:46:42.010	REVISTA	1	0	760845
2017/18	571	CharrazFC	2017-08-01 12:51:49.470	REVISTA	1	0	760663
2017/18	576	v.baia99	2017-08-01 12:52:37.660	REVISTA	1	0	760868
2017/18	584	 Team Dinis Rosas	2017-08-01 12:53:41.947	REVISTA	1	0	776336
2017/18	585	Vento Norte	2017-08-01 12:53:43.217	REVISTA	1	0	760615
2017/18	586	Rukkanor United	2017-08-01 12:53:48.747	REVISTA	1	0	761494
2017/18	601	SL BACO	2017-08-01 12:55:43.160	REVISTA	1	0	762062
2017/18	602	Navex FC	2017-08-01 12:55:46.780	REVISTA	1	0	762049
2017/18	612	mÇs que un club	2017-08-01 12:57:26.427	REVISTA	1	0	764649
2017/18	619	Vanny FC	2017-08-01 12:58:17.650	REVISTA	1	0	763605
2017/18	629	Tardariz.F.C.	2017-08-01 12:59:46.820	REVISTA	1	0	764215
2017/18	630	COOPER	2017-08-01 12:59:49.927	REVISTA	1	0	762011
2017/18	641	Barril Sad 01	2017-08-01 13:01:44.973	REVISTA	1	0	761703
2017/18	643	Mad Soccer	2017-08-01 13:01:57.830	REVISTA	1	0	762616
2017/18	644	Ducatricana_team	2017-08-01 13:02:11.133	REVISTA	1	0	761669
2017/18	653	No_Name_Team	2017-08-01 13:04:13.620	REVISTA	1	0	774433
2017/18	658	Carvalhosatasaray	2017-08-01 13:04:32.490	REVISTA	1	0	761571
2017/18	659	Estrela da Companhia	2017-08-01 13:04:40.027	REVISTA	1	0	771759
2017/18	660	Barril Sad 02	2017-08-01 13:04:41.950	REVISTA	1	0	761703
2017/18	675	Barril Sad 03	2017-08-01 13:06:06.513	REVISTA	1	0	761703
2017/18	680	UltraRH76	2017-08-01 13:06:29.260	REVISTA	1	0	772874
2017/18	684	DonaFruta	2017-08-01 13:06:50.620	REVISTA	1	0	776610
2017/18	686	H.M.	2017-08-01 13:06:55.103	REVISTA	1	0	760978
2017/18	708	D°namo Porto	2017-08-01 13:09:58.800	REVISTA	1	0	763343
2017/18	716	Os Matutambas	2017-08-01 13:10:51.523	REVISTA	1	0	764113
2017/18	717	SLB MCMIV	2017-08-01 13:11:33.897	REVISTA	1	0	775369
2017/18	724	Minis Gin's Vodkas	2017-08-01 13:12:48.273	REVISTA	1	0	782124
2017/18	725	Enxemoxilas	2017-08-01 13:13:12.880	REVISTA	1	0	764253
2017/18	729	W.A.L.	2017-08-01 13:13:51.083	REVISTA	1	0	762401
2017/18	732	JB	2017-08-01 13:15:00.860	REVISTA	1	0	760980
2017/18	737	moraisteam	2017-08-01 13:15:53.660	REVISTA	1	0	760988
2017/18	739	BERSU FC	2017-08-01 13:16:31.317	REVISTA	1	0	771459
2017/18	740	MouraSolTeam	2017-08-01 13:16:32.873	REVISTA	1	0	763253
2017/18	748	fercepe	2017-08-01 13:18:27.090	REVISTA	1	0	761551
2017/18	749	Patas dÔUrso F.C.	2017-08-01 13:18:30.280	REVISTA	1	0	767137
2017/18	750	vmpc 1	2017-08-01 13:18:45.080	REVISTA	1	0	760595
2017/18	752	OS CAMPEÂES DA DFBRAGA	2017-08-01 13:19:00.397	REVISTA	1	0	774585
2017/18	754	Arceus	2017-08-01 13:19:23.950	REVISTA	1	0	760534
2017/18	757	Warrior Sport Club	2017-08-01 13:19:43.907	REVISTA	1	0	773306
2017/18	758	FC E-MAIL	2017-08-01 13:19:50.350	REVISTA	1	0	763486
2017/18	759	Dragonite	2017-08-01 13:20:11.213	REVISTA	1	0	760534
2017/18	763	The Brothers	2017-08-01 13:20:53.690	REVISTA	1	0	760534
2017/18	764	NOURAS FC	2017-08-01 13:20:55.327	REVISTA	1	0	760720
2017/18	778	Agora vai...	2017-08-01 13:26:00.173	REVISTA	1	0	762605
2017/18	782	SCC DC	2017-08-01 13:27:38.050	REVISTA	1	0	762385
2017/18	785	SCC DC 1	2017-08-01 13:28:28.823	REVISTA	1	0	762385
2017/18	786	Ai Jesus...	2017-08-01 13:29:04.800	REVISTA	1	0	762168
2017/18	788	AKC Team	2017-08-01 13:29:37.897	REVISTA	1	0	765148
2017/18	790	Condenados FC	2017-08-01 13:30:14.703	REVISTA	1	0	762053
2017/18	791	SCC DC 2	2017-08-01 13:30:18.040	REVISTA	1	0	762385
2017/18	794	SCC DC 3	2017-08-01 13:31:00.443	C‡DIGO OFERTA 3+1	0	0	762385
2017/18	800	SCC DC 4	2017-08-01 13:31:57.443	REVISTA	1	0	762385
2017/18	801	SLCoelho	2017-08-01 13:32:03.170	REVISTA	1	0	761916
2017/18	802	Patarecus Azedus	2017-08-01 13:32:09.160	REVISTA	1	0	770001
2017/18	804	SCC DC 5	2017-08-01 13:32:59.717	REVISTA	1	0	762385
2017/18	805	Setas Verdes	2017-08-01 13:33:15.763	REVISTA	1	0	763349
2017/18	808	SCC DC 6	2017-08-01 13:33:51.060	REVISTA	1	0	762385
2017/18	814	Campo da Feira Team	2017-08-01 13:34:30.923	REVISTA	1	0	767297
2017/18	815	SCC DC 7	2017-08-01 13:34:53.350	C‡DIGO OFERTA 3+1	0	0	762385
2017/18	817	KOBRALMEIDA	2017-08-01 13:35:10.353	REVISTA	1	0	761068
2017/18	818	Dunas 01	2017-08-01 13:35:23.377	REVISTA	1	0	765883
2017/18	823	LIMPA TACHOS	2017-08-01 13:36:07.130	REVISTA	1	0	761068
2017/18	824	BicasSCP	2017-08-01 13:36:07.247	REVISTA	1	0	765490
2017/18	831	LIMPINH„ASPIRADO	2017-08-01 13:37:52.343	REVISTA	1	0	761068
2017/18	835	M«O DE VACA	2017-08-01 13:38:31.683	C‡DIGO OFERTA 3+1	0	0	761068
2017/18	836	#TudoMeuNadaVosso	2017-08-01 13:38:40.100	REVISTA	1	0	760532
2017/18	839	MOSCAS MORTAS	2017-08-01 13:39:36.083	REVISTA	1	0	761068
2017/18	840	A VERDADEIRA	2017-08-01 13:39:52.827	REVISTA	1	0	761076
2017/18	843	Team Praceta	2017-08-01 13:40:11.227	REVISTA	1	0	761096
2017/18	844	JL76	2017-08-01 13:40:30.677	REVISTA	1	0	765037
2017/18	845	Axis Master	2017-08-01 13:40:35.403	REVISTA	1	0	772056
2017/18	846	NALGADAS	2017-08-01 13:40:46.523	REVISTA	1	0	761068
2017/18	847	OSGAS RASTEJANTES	2017-08-01 13:41:52.593	REVISTA	1	0	761068
2017/18	852	OSSO QUEIMADO	2017-08-01 13:43:35.123	C‡DIGO OFERTA 3+1	0	0	761068
2017/18	853	rodrivic	2017-08-01 13:43:38.920	REVISTA	1	0	764095
2017/18	857	Pê DE KABRA	2017-08-01 13:44:29.443	REVISTA	1	0	761068
2017/18	859	Grupo Sport Lisboa	2017-08-01 13:44:33.600	REVISTA	1	0	763646
2017/18	863	Rumo_ao_37	2017-08-01 13:45:12.030	REVISTA	1	0	764776
2017/18	867	Player7	2017-08-01 13:45:49.803	REVISTA	1	0	768128
2017/18	868	Street Soccer F.C.	2017-08-01 13:46:04.820	REVISTA	1	0	760537
2017/18	873	Eagles Nest XVII	2017-08-01 13:46:45.850	REVISTA	1	0	763544
2017/18	879	Manolo_el_ni§o	2017-08-01 13:47:52.123	REVISTA	1	0	775624
2017/18	882	Spingboks	2017-08-01 13:48:59.957	REVISTA	1	0	760823
2017/18	884	JoaoSantos Team	2017-08-01 13:49:17.963	REVISTA	1	0	766114
2017/18	891	Bolas FC	2017-08-01 13:50:28.460	PAYPAL	1	0	772078
2017/18	892	Flamingos Fantasticos	2017-08-01 13:50:36.880	REVISTA	1	0	765039
2017/18	893	2 Bolas FC	2017-08-01 13:50:40.603	PAYPAL	1	0	772078
2017/18	894	FC Bolas	2017-08-01 13:51:01.423	PAYPAL	1	0	772078
2017/18	895	NaPuraDaRaáa	2017-08-01 13:51:11.640	REVISTA	1	0	761610
2017/18	897	BOLAS DE BERLIM	2017-08-01 13:51:42.193	C‡DIGO OFERTA 3+1	0	0	772078
2017/18	909	Magico_Estoril 1	2017-08-01 13:54:20.507	REVISTA	1	0	760580
2017/18	910	Cachorros Bravos SL	2017-08-01 13:54:37.487	REVISTA	1	0	782097
2017/18	912	FKDAYS	2017-08-01 13:54:55.217	REVISTA	1	0	779958
2017/18	913	Magico_Estoril 2	2017-08-01 13:55:02.400	REVISTA	1	0	760580
2017/18	915	Magico_Estoril 3	2017-08-01 13:55:40.713	REVISTA	1	0	760580
2017/18	920	Magico_Estoril 4	2017-08-01 13:56:31.780	C‡DIGO OFERTA 3+1	0	0	760580
2017/18	927	LeoLau04	2017-08-01 13:59:15.453	REVISTA	1	0	762963
2017/18	929	afrik1	2017-08-01 13:59:19.233	REVISTA	1	0	760573
2017/18	930	MB Moledo City	2017-08-01 13:59:28.207	REVISTA	1	0	762571
2017/18	931	AFTAS	2017-08-01 13:59:32.613	REVISTA	1	0	767875
2017/18	933	Lupino Team	2017-08-01 14:00:26.130	REVISTA	1	0	769526
2017/18	940	Goodfellas	2017-08-01 14:01:49.693	REVISTA	1	0	761020
2017/18	942	Gambozinos United	2017-08-01 14:01:52.693	REVISTA	1	0	761046
2017/18	944	µguia Vitoriosa 1	2017-08-01 14:02:20.273	REVISTA	1	0	760722
2017/18	946	afrik2	2017-08-01 14:02:39.880	REVISTA	1	0	760573
2017/18	947	µguia Vitoriosa 2	2017-08-01 14:02:56.570	REVISTA	1	0	760722
