agegroup,gender,club,district,visitas,rank_total_final,equipas,equipas_epoca_seguinte
35-44,Masculino ,FC Porto,Vila Real,996,36006,1,1
25-34,Masculino ,FC Porto,Braga,188,37396,1,1
25-34,Masculino ,Benfica,Beja,800,4631,3,1
35-44,Masculino ,Benfica,Faro,924,7199,1,1
35-44,Masculino ,FC Porto,Ilha da Madeira,1640,51258,16,12
25-34,Masculino ,Benfica,Lisboa,1824,49481,8,6
15-24,Masculino ,Sporting,Évora,764,4444,1,1
64,Masculino ,Sporting,Leiria,488,38076,10,8
64,Masculino ,Benfica,Leiria,936,27253,2,4
35-44,Masculino ,Benfica,Santarém,1208,3934,1,1
25-34,Masculino ,Benfica,Viseu,1128,14189,9,8
55-64,Masculino ,Benfica,Castelo Branco,496,51274,10,7
15-24,Masculino ,Benfica,Aveiro,1580,7136,2,1
35-44,Masculino ,Sporting,Leiria,788,1401,1,1
25-34,Masculino ,Benfica,Setúbal,564,4403,1,1
35-44,Masculino ,Benfica,Santarém,1152,4088,2,1
45-54,Masculino ,Benfica,Lisboa,548,756,1,1
55-64,Masculino ,Sporting,Ilha da Madeira,928,16327,2,2
35-44,Masculino ,FC Porto,Braga,668,1639,1,1
15-24,Masculino ,FC Porto,Aveiro,852,7154,1,1
45-54,Feminino  ,Benfica,Faro,1260,19318,4,2
35-44,Masculino ,FC Porto,Viseu,884,51311,2,1
15-24,Masculino ,Benfica,Leiria,1732,850,4,5
25-34,Masculino ,Benfica,Castelo Branco,620,6398,1,1
35-44,Masculino ,Benfica,Leiria,800,25314,2,1
55-64,Masculino ,Benfica,Setúbal,972,7334,1,1
45-54,Masculino ,Sporting,Porto,1348,4129,4,4
45-54,Masculino ,Benfica,Évora,1700,34389,3,3
35-44,Masculino ,Benfica,Setúbal,620,1003,1,1
45-54,Masculino ,Sporting,Porto,460,42698,6,8
45-54,Masculino ,Sporting,Lisboa,496,6808,2,2
45-54,Masculino ,Benfica,Setúbal,972,5410,1,1
25-34,Masculino ,Benfica,Faro,1328,5259,6,1
45-54,Masculino ,Benfica,Viseu,1148,7553,6,5
25-34,Feminino  ,FC Porto,Viana do Castelo,1660,13194,3,1
55-64,Masculino ,Benfica,Lisboa,504,26395,8,8
35-44,Masculino ,Sporting,Porto,956,2826,1,1
35-44,Masculino ,FC Porto,Porto,984,1571,4,2
25-34,Feminino  ,Benfica,Lisboa,1192,10352,2,1
45-54,Masculino ,Sporting,Lisboa,288,29571,1,1
25-34,Masculino ,Benfica,Lisboa,1132,3404,1,1
35-44,Masculino ,Benfica,Setúbal,1584,1614,3,1
25-34,Masculino ,Benfica,Santarém,512,4248,1,1
15-24,Masculino ,Benfica,Lisboa,928,9955,2,1
